DOI,SBET/Specific surface area/m2g-1,Average pore size/nm,Total pore volume/cm3g-1,ID,IG,ID/IG,2¦È/¡ã,d002/nm,La/nm,Lc/nm,La/Lc,first discharge/mAh g-1,first charge/mAh g-1,ICE/%,Retention rate of 100 capacity cycles/%, capacity/mAh/g,Rsei/¦¸,Re/,Rf/,Rs/¦¸,Rct /¦¸,i0/mAcm-2,DLi+/cm2s-1
https://link.oversea.cnki.net/doi/10.14078/j.cnki.1001-3741.2022.06.0010,8.9,1.836666667,5.166666667,1352,1566,0.87,26.524,3.3558,100,55.6,1.798561151,229.537331,327.77,70.03,84.17,190.2,0.67,6.54,14.9,0.67,212.6,0.67,4.86E-10
,6.2,2.866666667,6.1,1352,1566,0.92,26.506,3.36,82.6,44.8,1.84375,249.795936,350.64,71.24,96.51,255.4,1.27,5.62,9.48,1.27,212.4,1.27,4.01E-10
,2.69,11.67089557,0.198365935,661.0483278,1374.905822,0.708198264,23.21990033,0.532290823,59.96648421,19.85814645,2.027399779,519.8733732,221.6444307,95.4,53.87088232,371.1,13.72665814,11.20011874,-19.20894537,9.01E-08,143.3,0.818469909,3.68E-13
,16.0156635,13.8484133,0.241841367,661.0483278,1374.905822,1.07,23.21990033,1.373409396,52.91933317,26.34493251,2.027399779,680.9673993,888.4046525,68.96630241,66.66071959,700.2403035,9.453784867,7.837935621,-6.950307008,4.18E-07,-64.59785558,0.818469909,1.04E-06
,0.24753134,11.89308401,0.800956567,661.0483278,1374.905822,0.73,-4.175440287,0.509625021,75.47021492,20.92790923,0.825239657,283,125.3159223,78.2,75.10883271,121.0820487,3.657439252,6.078195979,-43.4985982,3.89E-07,182.5454078,0.818469909,1.04E-06
,-0.588211897,11.89308401,0.743550937,661.0483278,1374.905822,0.65,-4.175440287,-0.069325316,91.22659085,26.23458111,0.825239657,299.4,127.8806359,79.8,74.7632744,71.35789825,3.657439252,6.390741503,119.0477005,1.25E-07,10.6,0.818469909,1.04E-06
,0.033752746,11.89308401,0.73752233,661.0483278,1374.905822,0.59,-2.250446975,-0.130673103,91.22659085,26.23458111,0.825239657,311.1,124.5699078,81.2,74.7632744,71.35789825,7.190871786,2.953139699,112.3337137,1.48E-07,14.38,0.818469909,1.04E-06
,5.3,2.816666667,4.483333333,1352,1566,0.93,26.508,3.3507,67,39.4,1.700507614,230.086992,321.71,71.52,97.02,289.9,1.56,5.12,8.53,1.56,148.4,1.56,5.43E-10
https://doi.org/10.1016/j.apt.2022.103884,0.05,0.21,4.8,0.7376,1.0682,0.691,20.94239968,0.934868396,55,12.1,4.545454545,219.073877,260,84.25918347,92.56666667,590.3256838,5.860560551,25.57428571,44.58333333,11.79492467,25.94306033,0.818469909,1.04E-06
,22,2.6,5,0.0711,0.8628,0.082,10.96980464,1.616398028,467,53.7,8.696461825,209.1647957,250,83.66591827,95.36555556,541.7852051,7.711483492,25.57428571,44.58333333,1.067103477,115.6750852,0.818469909,1.04E-06
